User Address,Current DAI Balance,2023-10-18 DAI Balance,Exact Yield Earned,Yield %,Years Inactive,Historical Date
0x2dee59010cbb5dd5dfc4ab90f7a63c423041b2bb,2637194.224422,2326970.650500,310223.573922,13.33,2.3,2023-06-13
0x863e730904cb7dcdd5205de6b502f42c3f6d9372,1133209.813057,1013135.689616,120074.123441,11.85,2.0,2023-10-17
0x39a0d7519cc121e077a064ddfdabf1562fe728ab,206844.267617,182000.000000,24844.267617,13.65,2.5,2023-04-29
0x74f9ee81388c35e4658d481de191765876407ca0,167788.732129,150000.000000,17788.732129,11.85,2.0,2023-10-17
0x25f2f439fc9d71cc8e497860085f98e29ce47b5e,142431.652876,125151.435299,17280.217577,13.80,2.6,2023-03-23
0x6ed450e062c20f929cb7ee72fcc53e9697980a18,102663.491166,90200.584657,12462.906509,13.81,2.6,2023-03-20
0x09a11f062b1c6f2820059f9e3f92fea0fb2a03dd,63075.362961,55361.519038,7713.843922,13.93,2.7,2023-02-22
0xf2e1a88af3d6cddd60b9c43cee53d655cba40b2c,19904.363722,17505.003472,2399.360249,13.70,2.5,2023-04-18
0xa90a679da66e4eee93e467474c4da96627962af1,15907.426761,14143.638476,1763.788285,12.47,2.2,2023-08-20
0x8837ac286e1e22c19b6cb668613dea10cc417591,15592.750116,13927.004530,1665.745585,11.96,2.0,2023-10-08
0x5e40194b89a4979fb979c13b9f96716e8d4af995,9077.141647,8000.000000,1077.141647,13.46,2.4,2023-05-26
0x52b512254a7b6c4a188924cde17d2451feaed6a1,6686.652962,5942.397330,744.255632,12.52,2.2,2023-08-16
0x60a3eb4251e9d4262834b27c3800a90a33e5b3ab,5685.628086,5000.000000,685.628086,13.71,2.5,2023-04-17
0xc16b9caeb0b6ef59db7ca993fe4a566b557892e6,3360.441739,2989.100659,371.341079,12.42,2.1,2023-08-24
0x018f4b918a24de93be4e5ffccca4e895fe7a9167,2208.123331,1936.935976,271.187355,14.00,2.7,2023-02-08
0x762af0ad3224e027a2ae12139ab9b9b135dbbe5c,1698.210745,1498.029189,200.181555,13.36,2.4,2023-06-09
0x6d6d09b2aaddfbd2447e27b9e97da47e83a2f0e4,1151.324978,1018.648542,132.676436,13.02,2.3,2023-07-14
0x9d797ec64040bda70345bba325bb9df47087506e,1128.034589,1000.000000,128.034589,12.80,2.2,2023-07-31
0x4dff727fd5002dad7e028c6987c394f1913c2137,903.136540,806.128401,97.008138,12.03,2.0,2023-10-01
0xdfcd9badf58dea060b98b490599394714e05fcb5,900.023535,799.923742,100.099793,12.51,2.2,2023-08-17
0x74b548a5e8ff196e5f227b3511368e9a8a9d1712,567.751301,500.029999,67.721301,13.54,2.4,2023-05-15
0x719fcfdc3d3ec5734a8be60a361322337e8cf1a8,527.798396,467.517176,60.281219,12.89,2.2,2023-07-23
0x4744cda32be7b3e75b9334001da9ed21789d4c0d,361.150029,317.299272,43.850757,13.81,2.6,2023-03-19
0x0c40e6c6c9514bc9e48801f47c1bc861ac3f74ba,339.040746,300.000000,39.040746,13.01,2.3,2023-07-15
0xd3f7e0316971578d3b805c295253f6d2f965a8be,282.322276,250.000000,32.322276,12.92,2.2,2023-07-21
0x41e22424e1e071a447f3eea140c51d21d3bf726f,250.412813,219.583921,30.828892,14.03,2.7,2023-01-31
0x0a196c09a1d3cee409c16214b7959fb541390048,248.004310,217.590357,30.413952,13.97,2.7,2023-02-13
0xc2f3766d439b2efbb063691e759f58d07cf306c1,228.328523,201.455360,26.873163,13.33,2.4,2023-06-12
0xcf4cd9fd4edaa4bd0addb65cb8a4ab0bf7e56b85,214.335667,187.999999,26.335667,14.00,2.7,2023-02-06
