User Address,Current USDT Balance,2023-10-18 USDT Balance,Exact Yield Earned,Yield %,Years Inactive,Historical Date
0xd3957ff9f8c697ea4db2820d569bb895ee13a54c,4650287.664010,4139476.323173,510811.340837,12.33,2.2,2023-08-23
0x94b337fa9314cb8aebed71cf18e543d4e385e33a,895223.610944,800000.003604,95223.607340,11.90,2.0,2023-10-04
0xa04e482ef0acce05bcf8768ece9379660c9a8e5c,175559.221551,154720.524674,20838.696877,13.46,2.5,2023-04-17
0x14691f387f613a054ccb49a21dcada02ed031d95,105163.061172,92392.895791,12770.165381,13.82,2.6,2023-03-12
0xc7ab1325eebd082ecd0448173c9733ed133a9c18,86072.786379,75864.043836,10208.742543,13.45,2.5,2023-04-19
0x9a3c61c87364bc42d8b2f262b7ad9e1c0e2e8634,34062.641550,30000.000000,4062.641550,13.54,2.5,2023-04-08
0x5e40194b89a4979fb979c13b9f96716e8d4af995,7349.213990,6458.123684,891.090306,13.79,2.6,2023-03-13
0xa0e1d231cd434e9569ec6aafe5a7276c847a5902,5613.347211,4999.999999,613.347212,12.26,2.1,2023-08-30
0x4cdb3dd9ca149f3e9338cb51854f5da4ff804eb7,3381.064097,3018.921340,362.142757,11.99,2.1,2023-09-27
0x018f4b918a24de93be4e5ffccca4e895fe7a9167,3144.236186,2752.812330,391.423856,14.21,2.6,2023-02-23
0x11495083ed996614f12651679e873678e9f19097,2235.403639,2000.000000,235.403639,11.77,2.0,2023-10-16
0xf3ae9855f0763912c4bfeab120e56dc2a0d48ea5,2139.832881,1884.763299,255.069582,13.53,2.5,2023-04-09
0xc73950b3ce37ac339c99893b9da25c8bea18b344,2084.712792,1830.672231,254.040561,13.87,2.6,2023-03-12
0x3382dda354258090cf109e26dddd632f9be6eab2,2001.891977,1778.132662,223.759315,12.58,2.2,2023-08-01
0x98f97b3fc1a536e25a0f1839d0eb9ff685041548,1825.294720,1600.000000,225.294720,14.08,2.6,2023-03-11
0xb747fcefeec0a712f288aeb5c24eefb402a22a4d,1138.327229,999.999999,138.327230,13.83,2.6,2023-03-12
0x00fcf966c55ae2e22237e6cece57ffef507ba81b,1126.529007,999.999999,126.529008,12.65,2.2,2023-07-30
0x0e3e1a15a95a65939f6c074259329d0b6a7d0a7b,1124.279364,1000.000000,124.279364,12.42,2.2,2023-08-13
0x98d0941c4913a6bc3fd87deddf7a23ab01ebf18e,355.630788,313.017104,42.613684,13.61,2.6,2023-03-28
0x41ba06c3a47cb358c2e9ba3e61c888d7f1ed908e,349.457222,310.349999,39.107223,12.60,2.2,2023-07-31
0xfb0018ad46c669b6a4c0e589c53db27daf7f7930,234.830336,207.539990,27.290346,13.14,2.4,2023-05-31
0x3dfb9708c71cb50d801c934c5c2041d84b070787,201.280818,180.000000,21.280818,11.82,2.0,2023-10-10
