User Address,Current USDC Balance,2024-10-17 USDC Balance,Exact Yield Earned,Yield %,Years Inactive,Last Interaction
0x2dee59010cbb5dd5dfc4ab90f7a63c423041b2bb,9714359.358383,8522108.885537,1192250.472846,13.99,2.3,2023-06-13
0xc49515cbce8a5ba7e82b46abf3401400fd94233e,5467324.144606,5000000.000000,467324.144606,9.34,1.6,2024-03-14
0xba413415b7eb17f5b776b66b5aa5d5861c11b113,3254930.830318,3000836.506523,254094.323795,8.46,1.5,2024-04-12
0xa2dfaea03bf2140cab99e3de9f23f568c850b76a,2941969.636206,2706643.000000,235326.636206,8.69,1.5,2024-04-03
0x9fcc67d7db763787bb1c7f3bc7f34d3c548c19fe,2418322.099013,2290874.388233,127447.710780,5.56,1.0,2024-09-30
0x1701037d4553c0cd5b4ed0c46b3a766c7d5b041f,2251962.209140,1999999.999999,251962.209141,12.59,2.0,2023-10-11
0x163407fda1a93941358c1bfda39a868599553b6d,2214077.264971,2000000.000000,214077.264971,10.70,1.7,2024-01-18
0x0ae3be0fb0a4e1cd97bd77ad4202ef93b6bf2241,2192528.453952,2000000.000000,192528.453952,9.62,1.6,2024-03-06
0x496a0f3fd10a06d3ecdef8d82ba1be3683c4c03c,2107173.089729,1975614.224097,131558.865632,6.65,1.3,2024-07-08
0x49506042add15893efbbe18abf6b32367e5462fb,1690246.106689,1548175.605655,142070.501034,9.17,1.6,2024-03-18
0xc1eed87bfe8ac54ef1a063678d8b397aa764c619,1666421.308822,1519239.851487,147181.457335,9.68,1.6,2024-03-04
0x50d1b550f854b785cedf754114e28d496c8a89c1,1623130.880191,1490000.000000,133130.880191,8.93,1.6,2024-03-26
0x26f687f19cfc840de95dbf82ba3936d52d43e754,1616718.884160,1480826.614984,135892.269176,9.17,1.6,2024-03-18
0x180ef5a4bfcce648596e5ea614a4158f5402049b,1604320.112813,1498246.466672,106073.646141,7.07,1.3,2024-06-17
0x17362bff0286e29b4b3b8a6f9b872b96914f4edf,1216462.331481,1122153.381139,94308.950342,8.40,1.5,2024-04-14
0x52ce93e506b377591c48c3b0212ca48954972259,1203876.593081,1100000.000000,103876.593081,9.44,1.6,2024-03-12
0x7951c7ef839e26f63da87a42c9a87986507f1c07,1140926.168521,1000000.000000,140926.168521,14.09,2.4,2023-05-30
0xe15e8dd950a217ced5d9ef7185aa3fccf87ce569,1093764.435641,1000000.000000,93764.435641,9.37,1.6,2024-03-13
0x01d52767acd484955f4149152f88402fe342175a,1060230.625553,1000019.797670,60210.827883,6.02,1.2,2024-08-22
0xdd03784905bdad4db5bce979b382361dca014118,1027035.055342,955174.625582,71860.429760,7.52,1.4,2024-05-29
0xb5445fd92d56241592086ee7445f3ea54510ea96,937174.627713,888868.067964,48306.559749,5.43,1.0,2024-10-10
0x8d47c67537aed4b84108b1c303b59eb76626ccf5,914196.599170,857958.267832,56238.331338,6.55,1.3,2024-07-15
0x75482ee4e33f0351290cd958a10e042074e7a11d,901266.871871,838578.823232,62688.048639,7.47,1.4,2024-05-31
0xb7a6caadf860bae7b6c0dbd7de8d464da21623b1,830799.973290,740306.593170,90493.380120,12.22,1.9,2023-11-06
0x3d4620e439c3543c35214eab5ad6ce0c3082b25b,828692.763018,782380.413199,46312.349819,5.91,1.1,2024-08-30
0xfe9e452e1a2750825181319a9846a56ba37f0322,786379.846954,700000.000000,86379.846954,12.33,2.0,2023-10-30
0x542dd5e19d5f044ac0d845b785b4e40f1df67dc4,767540.169948,706997.194249,60542.975699,8.56,1.5,2024-04-09
0xef7cd78bdf7ce6e3903572e3d584839643df2f0a,762944.756368,717422.052226,45522.704142,6.34,1.2,2024-07-27
0x536fd58b63b841b57db016266e6b9adfbf109656,687806.744589,641085.688934,46721.055655,7.28,1.4,2024-06-08
0xb232f63c727d1d682f586dcbe256202fef0fbd3b,628748.555041,575328.939989,53419.615052,9.28,1.6,2024-03-15
0x8d0419bd0106d9882590de28d406bbd6f18f2e14,589225.692115,536912.167609,52313.524506,9.74,1.6,2024-03-03
0x1fe14c72bd05a61dc8ee3fdda6633dc5a1b6bbe6,576188.113447,541392.128378,34795.985069,6.42,1.2,2024-07-22
0xb8a9843da2f5929fdf29ee4ca5f5b0769fbfdd99,537311.318012,503708.868845,33602.449167,6.67,1.3,2024-07-08
0xf57144e063ac6ed520b8a457421d38fb6006760d,528284.643029,500000.000000,28284.643029,5.65,1.1,2024-09-23
0x2cff000efe1941f9cbd8c787103096b99d519275,519413.526445,484779.821245,34633.705200,7.14,1.3,2024-06-14
0xf0bd39ca331e26c69139095faa643bae096cdbf7,517603.696512,484206.069957,33397.626555,6.89,1.3,2024-06-26
