User Address,Current WETH Balance,2024-10-17 WETH Balance,Exact Yield Earned,Yield %,Years Inactive,Last Interaction
0xbe3c2d83fbca8a70f7d22c1057b041d8a2668f13,1738.129304,1664.959358,73.169946,4.39,2.2,2023-07-31
0xb5528e0f9e7501259c84739b3b6efc3c607e295c,1574.362648,1530.001912,44.360735,2.89,1.4,2024-05-21
0x71e4627ee0e412842e8f799912f0ac2c74dc5ec5,493.234261,474.500000,18.734261,3.94,2.0,2023-10-18
0x930505e9bdba2e67072f9954692b34cad8bf357e,230.765057,221.999999,8.765057,3.94,2.0,2023-10-18
0xfcc706b913f8fe762aa8471ca456706bdef9ea1f,223.409502,212.995949,10.413552,4.88,2.5,2023-05-02
0x868db43bb44caef610b1e2839cfd457290ab72a9,208.935886,201.000000,7.935886,3.94,2.0,2023-10-18
0x93492c0547922ff99715d5c9ec2c7d15e687126e,149.252831,145.000000,4.252831,2.93,1.4,2024-05-14
0x65babec7bb9bf0ff73eddeaf1f549f037ae4f11b,141.137898,136.570319,4.567578,3.34,1.7,2024-02-17
0x1860bb1e32f81f157e874fadb838fb1d7cc6d2f5,124.815037,122.000000,2.815037,2.30,1.1,2024-09-03
0xf6f78960e9a132868f3fbf1458960dc2325097e3,109.145073,105.391621,3.753452,3.56,1.8,2023-12-29
0x380fc3332ce4fbc2cf99745958b13388c15008fe,105.893350,102.000000,3.893350,3.81,1.9,2023-11-11
0x30495f43c180c0614cf6f05863650c84d0c4b80b,105.229342,100.000000,5.229342,5.22,2.6,2023-03-08
0x545e6caac741cd335ab7934c374864e5dcfe7896,96.318539,91.999999,4.318539,4.69,2.4,2023-06-04
0xf0399720e33ea97da0f3dc468a06a41a15ed9277,78.937284,76.000000,2.937284,3.86,2.0,2023-11-02
0x137a35de164c10230fc08374d88a31b1d2330645,77.730510,76.000000,1.730510,2.27,1.1,2024-09-09
0x8e0d50d9a42e4a58f9dd164846e627823bc433c7,77.275969,75.299301,1.976668,2.62,1.3,2024-07-08
0xfedeacc03f5360c6d34c063d4e2b3d81327d1b5d,76.162064,74.016490,2.145573,2.89,1.4,2024-05-21
0x2e94dbc6b3cb53c286ff8d046497799466c381c6,73.285831,69.999999,3.285831,4.69,2.4,2023-06-04
0x92ae4f035cfbf0d5ba5029375fca83299aa221f5,70.773037,68.706397,2.066640,3.00,1.5,2024-04-26
0x5e630d5a57665b6d034db5a6d055b86111b11fcc,69.843971,67.632667,2.211303,3.26,1.6,2024-02-29
0xb34938746d316e995aa81f9b3f94419a0a41e143,52.495483,50.000000,2.495483,4.99,2.5,2023-04-13
0x64e458676ce185c1a71994d9290a4a784a558352,52.071071,50.002303,2.068767,4.13,2.1,2023-09-17
0x83a87c9cc36b4b902dd38bddaed7e4295dc82fe3,51.263259,50.000000,1.263259,2.52,1.2,2024-07-25
0xf70c08eb0078aef1152e88212f19d63f22c0cb8f,47.341845,46.262699,1.079145,2.33,1.1,2024-08-30
0xaac957a8264124d93d42ede793356e49d0ef5c88,44.261581,42.999999,1.261581,2.93,1.4,2024-05-14
0xd0496b0eac7084cf6ed7ac01e32cde408b1299dc,43.056211,41.842171,1.214040,2.90,1.4,2024-05-20
0x99b3ced95989f72d21d97455048acabcb0102dd6,41.943039,40.999999,0.943039,2.30,1.1,2024-09-05
0xb28f6daa3f871db4f22d3f0cdba01f9d2bed61da,41.286561,40.000000,1.286561,3.21,1.6,2024-03-11
0x02c5561906587bd08d0662518c1e6a1a5fb4075a,39.489113,38.506536,0.982577,2.55,1.2,2024-07-21
0xf3ec4add9d683dc4658e1ff7823404fc1fe20ba3,33.847040,32.152349,1.694690,5.27,2.6,2023-02-28
0x39bfd268c378108ca8971c2341b95c33330c8a84,33.685146,32.800000,0.885146,2.69,1.3,2024-06-27
0x61add3f6787daee6dbf37869dd7317ac2a8802a4,33.592671,32.742885,0.849786,2.59,1.3,2024-07-13
0x4481f2d38d37ec376b829060851470fface0c5ae,33.310114,32.389999,0.920114,2.84,1.4,2024-06-04
0x4bc05719fecf08a87f74f6d0f07c43607d62e848,33.085569,31.999999,1.085569,3.39,1.7,2024-02-07
0x38318f24010390c1e2bd8b78cfd9fff02555b775,31.318230,30.000000,1.318230,4.39,2.2,2023-07-31
0xe4dc63a20dc40bfd876996c7637037537ffdb00f,28.908497,28.214272,0.694224,2.46,1.2,2024-08-05
0x9af85b1dc044063d09d78f171d0969a10ec4d4bc,28.827289,27.364353,1.462936,5.34,2.7,2023-02-12
0x0a0357e50db54027f39373db16ef3461ce770feb,26.681773,25.393820,1.287953,5.07,2.5,2023-04-01
0x84526af79b46353e8665f96f3ae052d34ca6964a,21.407519,20.384893,1.022625,5.01,2.5,2023-04-09
0x3ea952e68b29ae0890fbfd1b32ec101389cc1454,21.059573,20.500000,0.559573,2.72,1.3,2024-06-21
0x53fb0cad7860f4d625676a7a44f5eee844b78822,20.672777,20.180149,0.492627,2.44,1.2,2024-08-09
0x634e9ef575025b1a665395816a9ffde2cf2ee009,20.556630,19.933934,0.622695,3.12,1.5,2024-03-30
0xadc61474d89134eb5717f8a263239ccaa788cabd,20.531090,20.000000,0.531090,2.65,1.3,2024-07-04
0xfd383c9627b7283370e659e73efe673479154a52,20.138368,19.181504,0.956863,4.98,2.5,2023-04-14
0x396b91734d8b62969b75ede7aaab0e649ff156b1,18.172027,17.433044,0.738982,4.23,2.1,2023-09-02
0x018f4b918a24de93be4e5ffccca4e895fe7a9167,17.912893,17.000000,0.912893,5.36,2.7,2023-02-08
0x64e7ff734848dc7b04d00da71615649d321c04a3,16.334682,16.000082,0.334600,2.09,1.0,2024-10-11
0xe2625b508527825f38c3cd25f0795b9c07c45ea9,15.952512,15.473212,0.479300,3.09,1.5,2024-04-05
0x5417a2595e2843f76ee63265d9d88c38950eb873,15.344336,14.900002,0.444333,2.98,1.5,2024-05-02
0x1022e3cf369bc3195fae65c3e24e4f9ef71e6fda,14.147770,13.499999,0.647770,4.79,2.4,2023-05-18
0xe66f93f7fd486526cfc11b5551824d6369c575de,13.786768,13.499999,0.286768,2.12,1.0,2024-10-06
0x8871d460564f3686c86f4503e79869c9d9bb2030,13.463095,12.913538,0.549556,4.25,2.1,2023-08-30
0x806cf0dfb9a880035820d86443fd94d6115537e9,13.338939,13.000000,0.338939,2.60,1.3,2024-07-11
0xcc138eab09c0cf6ba56fdb1a9d2d6cb6224b555b,12.612514,12.000000,0.612514,5.10,2.6,2023-03-26
0x8c3edfe44b7db24d5c3c4e72b6a65f69e871b5b8,11.948350,11.593149,0.355200,3.06,1.5,2024-04-12
0xe7c8712fc60b20693046c71e5012801eaafc7217,11.780521,11.500000,0.280521,2.43,1.2,2024-08-09
0xc6cc5c8ac1061d3ca8991cb1824271dd3427fe6c,11.589846,11.344532,0.245313,2.16,1.0,2024-09-30
0x30b30755fb62530c8c9bc834499411f6b07e743d,10.861965,10.499999,0.361965,3.44,1.7,2024-01-26
0xbfdc010a97659b55837a6bd5be4dad09a1601b56,10.566433,10.132855,0.433578,4.27,2.1,2023-08-25
0xde01d9a68f2bedd47cd4c6d74c5da7235f0203f6,10.552041,10.119337,0.432704,4.27,2.1,2023-08-26
0xe6a4a2d08f54cb9f51d81e0d356257acd381d97d,10.433898,10.182198,0.251699,2.47,1.2,2024-08-04
0xd883f53db42e71f181620c651b6cbd54540eb378,10.370375,10.032334,0.338041,3.36,1.7,2024-02-12
0xa887c75eade48a2bd5b1d764abbeb5c1ac093eae,10.318620,10.000000,0.318620,3.18,1.6,2024-03-18
0xd002cc83faf1d78e3ec11d59cd70cb0126abff87,10.269414,10.053516,0.215898,2.14,1.0,2024-10-02
0xda96072987f9b8124c8d6b381202cacda9efacf9,10.262496,10.000000,0.262496,2.62,1.3,2024-07-08
0xf4096cf2fae804b047d2d11925c128c2512b8eff,10.242186,9.999999,0.242186,2.42,1.2,2024-08-12
0x558e1537d88bfde67869c40a600a033a14090935,9.369847,9.108204,0.261642,2.87,1.4,2024-05-27
0x66c22a538f2aad853662b13125abe7f86251aca4,9.147262,8.825891,0.321371,3.64,1.8,2023-12-14
